"cpg","estimate","se","p.value"
"cg00002837","0.00042472","0.00010961",0.000113
"cg00007036","-0.00012719","3.65e-05",0.000517
"cg00008647","-0.00019418","4.61e-05",2.75e-05
"cg00009916","-6.56e-05","2.41e-05",0.0065
"cg00011717","-0.00015658","3.49e-05",8.19e-06
"cg00012362","0.00072565","0.00026762",0.00681
"cg00015930","-7.02e-05","2.51e-05",0.00531
"cg00018229","-0.00011689","3.69e-05",0.00157
"cg00030604","0.00039362","0.00011416",0.000587
"cg00031063","-0.00020941","5.02e-05",3.29e-05
"cg00034101","0.00033811","0.0001113",0.00244
"cg00040837","-0.00075947","0.00016792",6.8e-06
"cg00045114","-0.00036801","0.00013148",0.00522
"cg00056754","0.00046501","9.66e-05",1.68e-06
"cg00067518","0.00080447","0.00014537",3.95e-08
"cg00068153","0.00026304","7.51e-05",0.000478
"cg00078456","-0.00148231","0.00017771",2.28e-16
"cg00081141","-7.98e-05","2.91e-05",0.00626
"cg00083262","-0.00050095","6.91e-05",8.32e-13
"cg00083652","-8.06e-05","2.63e-05",0.0022
"cg00085493","-0.00063319","9.95e-05",2.93e-10
"cg00087546","0.00017262","4.72e-05",0.000265
"cg00087884","-0.00029117","7.93e-05",0.000254
"cg00090197","-0.0002045","5.91e-05",0.000557
"cg00095526","0.00038243","0.00010395",0.000246
"cg00099427","0.00088965","0.00012146",4.76e-13
"cg00100762","0.00027112","8.2e-05",0.000974
"cg00107970","-0.00032815","0.00011592",0.00473
"cg00109293","-0.00017459","6.52e-05",0.00752
"cg00112238","-0.0011546","0.00014945",2.59e-14
"cg00112929","-0.00011416","3.89e-05",0.00343
"cg00113712","-0.00015297","5.43e-05",0.00494
"cg00117335","-0.00019942","5.66e-05",0.000447
"cg00120948","-0.00032728","8.53e-05",0.000133
"cg00123090","0.00035079","8.31e-05",2.65e-05
"cg00128951","-0.0002546","8.84e-05",0.00405
"cg00145911","-0.0002493","5.13e-05",1.34e-06
"cg00149805","-0.00013934","3.83e-05",0.000285
"cg00152117","-0.00030416","8.47e-05",0.000344
"cg00153101","-0.00121091","0.00011118",3e-26
"cg00157638","-0.00037488","5.7e-05",7.7e-11
"cg00157962","0.00036395","0.00012584",0.0039
"cg00162064","-0.00086243","0.00013905",7.99e-10
"cg00163089","-0.00017938","6.25e-05",0.0042
"cg00165862","-0.0001147","3.62e-05",0.00156
"cg00165994","-0.00040648","0.00010737",0.000162
"cg00168240","-0.0001821","6.12e-05",0.00298
"cg00171578","0.00086854","0.00011874",5.12e-13
"cg00172849","0.00024627","8.94e-05",0.00596
"cg00176638","0.00060867","0.000177",0.000607
"cg00177203","0.00063491","6.77e-05",4.1e-20
"cg00178850","0.00044453","0.00012634",0.000452
"cg00194374","-7.05e-05","2.22e-05",0.00156
"cg00212470","-0.00027342","6.46e-05",2.49e-05
"cg00215182","-0.00022684","5.65e-05",6.37e-05
"cg00222472","0.00085643","0.00021203",5.75e-05
"cg00231528","-6.57e-05","2.13e-05",0.00209
"cg00246451","-0.00044974","7.57e-05",3.79e-09
"cg00251405","-0.00045157","0.0001293",0.000498
"cg00251678","-0.00026154","8.25e-05",0.00156
"cg00252781","-0.00052583","0.00019392",0.00681
"cg00253564","-0.00023917","8.78e-05",0.00655
"cg00257455","-0.00067491","8.72e-05",2.4e-14
"cg00258316","-0.00036247","0.00012046",0.00268
"cg00292107","-0.00034143","9.8e-05",0.000512
"cg00295182","0.00029049","0.00010208",0.00452
"cg00295382","0.0002374","8.62e-05",0.00598
"cg00297832","-0.00072756","0.0001432",4.44e-07
"cg00298399","0.00017239","6.3e-05",0.00634
"cg00303378","0.00066123","0.00012463",1.37e-07
"cg00305774","0.00020764","6.17e-05",0.000785
"cg00306003","-0.00017706","4e-05",1.06e-05
"cg00306390","-0.00015426","5.05e-05",0.00232
"cg00307685","-0.00011759","3.53e-05",0.000884
"cg00307818","0.00056262","0.00012531",7.92e-06
"cg00308434","-0.00014997","4.78e-05",0.00176
"cg00309945","0.00047239","0.00011775",6.45e-05
"cg00310940","-0.00043085","9.92e-05",1.54e-05
"cg00313914","0.000597","0.00020609",0.00385
"cg00320094","0.00085314","0.00016732",4.05e-07
"cg00322486","0.00027304","8.33e-05",0.00108
"cg00323313","0.00033881","8.41e-05",5.96e-05
"cg00328597","0.00031966","7.4e-05",1.73e-05
"cg00329272","-0.00022722","7.49e-05",0.00247
"cg00330455","0.00026344","9.23e-05",0.00441
"cg00338479","0.00024944","8.72e-05",0.00429
"cg00346501","-0.00018743","3.8e-05",9.46e-07
"cg00348992","-0.00015057","4.86e-05",0.00202
"cg00351750","-0.00020532","7.38e-05",0.00548
"cg00352913","-0.00025725","6.08e-05",2.55e-05
"cg00355656","0.00037746","0.00013168",0.00423
